Year,Lg,Name,Tm
2024,AL,Aaron Judge,NYY
2024,NL,Shohei Ohtani,LAD
2023,AL,Shohei Ohtani,LAA
2023,NL,Ronald AcuÃ±a Jr.,ATL
2022,AL,Aaron Judge,NYY
2022,NL,Paul Goldschmidt,STL
2021,AL,Vladimir Guerrero Jr.,TOR
2021,NL,Bryce Harper,PHI
2020,AL,JosÃ© Abreu,CHW
2020,NL,Freddie Freeman,ATL
2019,AL,Mike Trout,LAA
2019,NL,Christian Yelich,MIL
2018,AL,J.D. Martinez,BOS
2018,NL,Christian Yelich,MIL
2017,AL,Jose Altuve,HOU
2017,NL,Giancarlo Stanton,MIA
2016,AL,David Ortiz,BOS
2016,NL,Kris Bryant,CHC
2015,AL,Josh Donaldson,TOR
2015,NL,Bryce Harper,WSN
2014,AL,Mike Trout,LAA
2014,NL,Giancarlo Stanton,MIA
2013,AL,Miguel Cabrera,DET
2013,NL,Paul Goldschmidt,ARI
2012,AL,Miguel Cabrera,DET
2012,NL,Buster Posey,SFG
2011,AL,JosÃ© Bautista,TOR
2011,NL,Matt Kemp,LAD
2010,AL,JosÃ© Bautista,TOR
2010,NL,Joey Votto,CIN
2009,AL,Derek Jeter,NYY
2009,NL,Albert Pujols,STL
2008,AL,Kevin Youkilis,BOS
2008,NL,Aramis RamÃ­rez,CHC
2007,AL,Alex Rodriguez,NYY
2007,NL,Prince Fielder,MIL
2006,AL,Derek Jeter,NYY
2006,NL,Ryan Howard,PHI
2005,AL,David Ortiz,BOS
2005,NL,Andruw Jones,ATL
2004,AL,Manny Ramirez,BOS
2004,NL,Barry Bonds,SFG
2003,AL,Alex Rodriguez,TEX
2003,NL,Albert Pujols,STL
2002,AL,Alex Rodriguez,TEX
2002,NL,Barry Bonds,SFG
2001,AL,Alex Rodriguez,TEX
2001,NL,Barry Bonds,SFG
2000,AL,Carlos Delgado,TOR
2000,NL,Todd Helton,COL
1999,AL,Manny Ramirez,CLE
1999,NL,Sammy Sosa,CHC
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
